time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404290834.82000	        0.40000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.74000	      -20.00000	        9.91000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	       -1.01000	        0.00000	       -0.88000	       -4.00000	       -8.75000	      -10.00000	       -1.71000	       -2.00000	        3.74000	        4.00000	       -0.84000	        0.00000	       -2.29000	       -4.00000
1404290834.84000	        0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	        9.91000	       10.00000	        2.24000	        2.00000	        3.65000	        4.00000	       -1.10000	        0.00000	       -0.88000	       -4.00000	       -8.75000	      -10.00000	       -1.71000	       -2.00000	        3.82000	        4.00000	       -0.84000	        0.00000	       -2.29000	       -4.00000
1404290834.86000	        0.40000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.73000	       10.00000	        9.96000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	        9.91000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	       -1.10000	        0.00000	       -0.88000	       -4.00000	       -8.66000	      -10.00000	       -1.71000	       -2.00000	        3.82000	        4.00000	       -0.92000	        0.00000	       -2.29000	       -4.00000
1404290834.89000	        0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.73000	       10.00000	        9.96000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	        9.91000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	       -1.01000	        0.00000	       -0.88000	       -4.00000	       -8.66000	      -10.00000	       -1.71000	       -2.00000	        3.74000	        4.00000	       -0.84000	        0.00000	       -2.29000	       -4.00000
1404290834.91000	        0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.73000	       10.00000	        9.96000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	        9.91000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	       -1.10000	        0.00000	       -0.88000	       -4.00000	       -8.66000	      -10.00000	       -1.71000	       -2.00000	        3.82000	        4.00000	       -0.84000	        0.00000	       -2.29000	       -4.00000
1404290834.93000	        0.40000	        0.00000	        1.98000	        2.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	        9.91000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	       -1.10000	        0.00000	       -0.88000	       -4.00000	       -8.66000	      -10.00000	       -1.71000	       -2.00000	        3.82000	        4.00000	       -0.84000	        0.00000	       -2.29000	       -4.00000
1404290834.95000	        0.31000	        0.00000	        1.89000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.73000	       10.00000	        9.96000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	       -9.96000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	        9.91000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	       -1.10000	        0.00000	       -0.88000	       -4.00000	       -8.66000	      -10.00000	       -1.71000	       -2.00000	        3.82000	        4.00000	       -0.84000	        0.00000	       -2.29000	       -4.00000
1404290834.97000	        0.31000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	        9.91000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	       -1.01000	        0.00000	       -0.88000	       -4.00000	       -8.75000	      -10.00000	       -1.71000	       -2.00000	        3.82000	        4.00000	       -0.84000	        0.00000	       -2.29000	       -4.00000
1404290835.00000	        0.31000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.73000	       10.00000	        9.96000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	       -9.96000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	        9.91000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	       -1.10000	        0.00000	       -0.88000	       -4.00000	       -8.66000	      -10.00000	       -1.71000	       -2.00000	        3.82000	        4.00000	       -0.84000	        0.00000	       -2.29000	       -4.00000
1404290835.02000	        0.40000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	        0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.73000	       10.00000	        9.96000	       10.00000	       -0.13000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.82000	      -20.00000	        9.91000	       10.00000	        2.15000	        2.00000	        3.65000	        4.00000	       -1.01000	        0.00000	       -0.88000	       -4.00000	       -8.66000	      -10.00000	       -1.71000	       -2.00000	        3.82000	        4.00000	       -0.84000	        0.00000	       -2.29000	       -4.00000
