time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404401207.66000	       -1.27000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.22000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.53000	        4.00000	       -0.48000	        1.36000	       -2.55000	       -3.00000	      -10.86000	      -10.00000	       -1.71000	       -2.00000	        4.44000	        4.00000	        1.54000	       -0.04000	       -3.96000	       -3.00000
1404401207.68000	       -1.27000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.22000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        1.36000	        2.00000	        4.53000	        4.00000	       -0.31000	        1.36000	       -2.55000	       -3.00000	      -10.86000	      -10.00000	       -1.71000	       -2.00000	        4.44000	        4.00000	        1.54000	       -0.04000	       -3.96000	       -3.00000
1404401207.71000	       -1.19000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.22000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        1.36000	        2.00000	        4.53000	        4.00000	       -0.31000	        1.36000	       -2.55000	       -3.00000	      -10.86000	      -10.00000	       -1.71000	       -2.00000	        4.44000	        4.00000	        1.54000	       -0.04000	       -3.96000	       -3.00000
1404401207.73000	       -1.19000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.53000	        4.00000	       -0.13000	        1.36000	       -2.55000	       -3.00000	      -10.86000	      -10.00000	       -1.71000	       -2.00000	        4.53000	        4.00000	        1.63000	       -0.04000	       -4.04000	       -3.00000
1404401207.75000	       -1.19000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.22000	       -0.04000	       -0.22000	        0.00000	       -0.73000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.44000	        4.00000	       -0.04000	        1.36000	       -2.55000	       -3.00000	      -10.86000	      -10.00000	       -1.80000	       -2.00000	        4.44000	        4.00000	        1.63000	       -0.04000	       -4.04000	       -3.00000
1404401207.77000	       -1.10000	        0.00000	        2.24000	        2.00000	        0.22000	        0.04000	       -0.13000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.44000	        4.00000	       -0.04000	        1.36000	       -2.64000	       -3.00000	      -10.86000	      -10.00000	       -1.80000	       -2.00000	        4.44000	        4.00000	        1.63000	       -0.04000	       -4.04000	       -3.00000
1404401207.79000	       -1.10000	        0.00000	        2.15000	        2.00000	        0.22000	        0.04000	       -0.13000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.44000	        4.00000	        0.04000	        1.36000	       -2.73000	       -3.00000	      -10.86000	      -10.00000	       -1.80000	       -2.00000	        4.35000	        4.00000	        1.63000	       -0.04000	       -4.13000	       -3.00000
1404401207.81000	       -1.10000	        0.00000	        2.24000	        2.00000	        0.22000	        0.04000	       -0.13000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.44000	        4.00000	        0.04000	        1.36000	       -2.73000	       -3.00000	      -10.86000	      -10.00000	       -1.80000	       -2.00000	        4.35000	        4.00000	        1.63000	       -0.04000	       -4.13000	       -3.00000
1404401207.83000	       -1.01000	        0.00000	        2.24000	        2.00000	        0.22000	        0.04000	       -0.13000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.44000	        4.00000	        0.04000	        1.36000	       -2.73000	       -3.00000	      -10.86000	      -10.00000	       -1.80000	       -2.00000	        4.44000	        4.00000	        1.63000	       -0.04000	       -4.13000	       -3.00000
1404401207.85000	       -1.01000	        0.00000	        2.24000	        2.00000	        0.31000	        0.04000	       -0.04000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.44000	        4.00000	        0.04000	        1.36000	       -2.73000	       -3.00000	      -10.86000	      -10.00000	       -1.80000	       -2.00000	        4.44000	        4.00000	        1.54000	       -0.04000	       -4.13000	       -3.00000
1404401207.87000	       -1.01000	        0.00000	        2.15000	        2.00000	        0.31000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.44000	        4.00000	        0.04000	        1.36000	       -2.81000	       -3.00000	      -10.86000	      -10.00000	       -1.80000	       -2.00000	        4.35000	        4.00000	        1.45000	       -0.04000	       -4.13000	       -3.00000
1404401207.89000	       -0.92000	        0.00000	        2.24000	        2.00000	        0.31000	        0.04000	       -0.13000	       -0.04000	        0.04000	        0.00000	       -0.15000	        0.00000	       -0.64000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.35000	        4.00000	        0.13000	        1.36000	       -2.81000	       -3.00000	      -10.86000	      -10.00000	       -1.80000	       -2.00000	        4.35000	        4.00000	        1.36000	       -0.04000	       -4.22000	       -3.00000
1404401207.91000	       -0.92000	        0.00000	        2.24000	        2.00000	        0.22000	        0.04000	       -0.13000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.35000	        4.00000	        0.13000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.80000	       -2.00000	        4.35000	        4.00000	        1.27000	       -0.04000	       -4.31000	       -3.00000
1404401207.93000	       -0.92000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	        0.24000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.35000	        4.00000	        0.22000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.80000	       -2.00000	        4.35000	        4.00000	        1.27000	       -0.04000	       -4.31000	       -3.00000
1404401207.95000	       -0.92000	        0.00000	        2.24000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	        0.22000	        0.00000	       -0.44000	        0.00000	       -0.64000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.27000	        2.00000	        4.35000	        4.00000	        0.22000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.89000	       -2.00000	        4.35000	        4.00000	        1.27000	       -0.04000	       -4.31000	       -3.00000
1404401207.97000	       -0.92000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.04000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.35000	        4.00000	        0.22000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.89000	       -2.00000	        4.35000	        4.00000	        1.27000	       -0.04000	       -4.31000	       -3.00000
1404401207.99000	       -0.84000	        0.00000	        2.15000	        2.00000	        0.04000	        0.04000	       -0.13000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.35000	        4.00000	        0.31000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.89000	       -2.00000	        4.35000	        4.00000	        1.27000	       -0.04000	       -4.31000	       -3.00000
1404401208.02000	       -0.92000	        0.00000	        2.24000	        2.00000	        0.04000	        0.04000	       -0.13000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.35000	        4.00000	        0.31000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.89000	       -2.00000	        4.35000	        4.00000	        1.19000	       -0.04000	       -4.31000	       -3.00000
1404401208.04000	       -0.84000	        0.00000	        2.15000	        2.00000	        0.04000	        0.04000	       -0.13000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.35000	        4.00000	        0.31000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.89000	       -2.00000	        4.26000	        4.00000	        1.19000	       -0.04000	       -4.31000	       -3.00000
1404401208.06000	       -0.84000	        0.00000	        2.15000	        2.00000	        0.04000	        0.04000	       -0.13000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.35000	        4.00000	        0.31000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.98000	       -2.00000	        4.26000	        4.00000	        1.19000	       -0.04000	       -4.31000	       -3.00000
1404401208.08000	       -0.84000	        0.00000	        2.15000	        2.00000	        0.04000	        0.04000	       -0.13000	       -0.04000	        0.40000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.26000	        4.00000	        0.31000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.89000	       -2.00000	        4.26000	        4.00000	        1.27000	       -0.04000	       -4.31000	       -3.00000
1404401208.10000	       -0.84000	        0.00000	        2.07000	        2.00000	        0.04000	        0.04000	       -0.13000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.26000	        4.00000	        0.40000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.98000	       -2.00000	        4.26000	        4.00000	        1.27000	       -0.04000	       -4.31000	       -3.00000
1404401208.12000	       -0.75000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.26000	        4.00000	        0.40000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.98000	       -2.00000	        4.35000	        4.00000	        1.27000	       -0.04000	       -4.31000	       -3.00000
1404401208.14000	       -0.75000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	        0.31000	        0.00000	        0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       11.05000	       10.00000	        1.36000	        2.00000	        4.26000	        4.00000	        0.40000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.98000	       -2.00000	        4.35000	        4.00000	        1.19000	       -0.04000	       -4.31000	       -3.00000
1404401208.16000	       -0.75000	        0.00000	        2.07000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        1.36000	        2.00000	        4.26000	        4.00000	        0.40000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.98000	       -2.00000	        4.26000	        4.00000	        1.27000	       -0.04000	       -4.31000	       -3.00000
1404401208.18000	       -0.84000	        0.00000	        2.15000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        1.36000	        2.00000	        4.26000	        4.00000	        0.40000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.98000	       -2.00000	        4.26000	        4.00000	        1.19000	       -0.04000	       -4.31000	       -3.00000
1404401208.20000	       -0.75000	        0.00000	        2.15000	        2.00000	        0.22000	        0.04000	       -0.13000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        1.36000	        2.00000	        4.26000	        4.00000	        0.40000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.98000	       -2.00000	        4.26000	        4.00000	        1.27000	       -0.04000	       -4.31000	       -3.00000
1404401208.22000	       -0.66000	        0.00000	        2.15000	        2.00000	        0.22000	        0.04000	       -0.13000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        1.36000	        2.00000	        4.26000	        4.00000	        0.40000	        1.36000	       -2.90000	       -3.00000	      -10.86000	      -10.00000	       -1.98000	       -2.00000	        4.26000	        4.00000	        1.27000	       -0.04000	       -4.31000	       -3.00000
