time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404399412.95000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.13000	        0.04000	       -0.13000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	        0.24000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.07000	        2.00000	        4.35000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.22000	       -0.04000	       -3.08000	       -3.00000
1404399412.98000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	       -0.13000	       -0.04000	       -0.13000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.09000	        4.00000	        0.22000	       -0.04000	       -3.08000	       -3.00000
1404399413.00000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.22000	       -0.04000	       -3.08000	       -3.00000
1404399413.02000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	       -0.22000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.22000	       -0.04000	       -3.08000	       -3.00000
1404399413.04000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	       -0.13000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.07000	        2.00000	        4.26000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.22000	       -0.04000	       -3.08000	       -3.00000
1404399413.06000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.13000	        0.04000	        0.04000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -3.08000	       -3.00000
1404399413.08000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.99000	       -3.00000
1404399413.11000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.22000	       -0.04000	       -2.99000	       -3.00000
1404399413.13000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.07000	        2.00000	        4.26000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.99000	       -3.00000
1404399413.15000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.18000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.99000	       -3.00000
1404399413.17000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	       -0.13000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.99000	       -3.00000
1404399413.19000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.13000	        0.04000	       -0.04000	       -0.04000	        0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.18000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.22000	       -0.04000	       -2.99000	       -3.00000
1404399413.21000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.13000	        0.04000	       -0.04000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.99000	       -3.00000
1404399413.23000	        0.13000	        0.00000	        2.15000	        2.00000	       -0.13000	        0.04000	        0.04000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.18000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.99000	       -3.00000
1404399413.26000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.13000	        0.04000	       -0.04000	       -0.04000	        0.22000	        0.00000	        0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.90000	       -3.00000
1404399413.28000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.90000	       -3.00000
1404399413.30000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.18000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.90000	       -3.00000
1404399413.32000	        0.13000	        0.00000	        2.15000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.22000	        0.00000	       -0.73000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.90000	       -3.00000
1404399413.34000	        0.13000	        0.00000	        2.15000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.22000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.90000	       -3.00000
1404399413.36000	        0.13000	        0.00000	        2.15000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.18000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.90000	       -3.00000
1404399413.38000	        0.13000	        0.00000	        2.24000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.22000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.18000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.90000	       -3.00000
1404399413.40000	        0.13000	        0.00000	        2.15000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.15000	        2.00000	        4.18000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.22000	       -0.04000	       -2.90000	       -3.00000
1404399413.43000	        0.13000	        0.00000	        2.15000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	       -0.73000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.15000	        2.00000	        4.09000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.90000	       -3.00000
1404399413.45000	        0.13000	        0.00000	        2.15000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.22000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.15000	        2.00000	        4.09000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.99000	       -3.00000
1404399413.47000	        0.13000	        0.00000	        2.15000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	        0.24000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.09000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.90000	       -3.00000
1404399413.49000	        0.13000	        0.00000	        2.15000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.09000	        4.00000	        0.84000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.99000	       -3.00000
1404399413.51000	        0.04000	        0.00000	        2.15000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.09000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.99000	       -3.00000
1404399413.53000	        0.04000	        0.00000	        2.07000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.09000	        4.00000	        0.75000	        1.54000	       -3.69000	       -3.00000	      -10.77000	      -10.00000	       -2.24000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -2.99000	       -3.00000
