time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404399829.96000	        0.04000	        0.00000	        2.51000	        2.00000	        0.13000	        0.04000	       -0.13000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.79000	       10.00000	        2.15000	        2.00000	        3.82000	        4.00000	        0.13000	        1.36000	       -2.64000	       -3.00000	       -9.19000	      -10.00000	       -1.98000	       -2.00000	        3.74000	        4.00000	        0.57000	       -0.04000	       -2.90000	       -3.00000
1404399829.98000	        0.04000	        0.00000	        2.51000	        2.00000	        0.13000	        0.04000	       -0.22000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.79000	       10.00000	        2.15000	        2.00000	        3.82000	        4.00000	        0.04000	        1.36000	       -2.64000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.74000	        4.00000	        0.66000	       -0.04000	       -2.99000	       -3.00000
1404399830.00000	       -0.04000	        0.00000	        2.51000	        2.00000	        0.04000	        0.04000	       -0.22000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.79000	       10.00000	        2.07000	        2.00000	        3.82000	        4.00000	        0.04000	        1.36000	       -2.64000	       -3.00000	       -9.19000	      -10.00000	       -1.98000	       -2.00000	        3.74000	        4.00000	        0.75000	       -0.04000	       -2.99000	       -3.00000
1404399830.02000	        0.04000	        0.00000	        2.51000	        2.00000	        0.04000	        0.04000	       -0.22000	       -0.04000	        0.31000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        3.82000	        4.00000	        0.04000	        1.36000	       -2.64000	       -3.00000	       -9.27000	      -10.00000	       -1.98000	       -2.00000	        3.74000	        4.00000	        0.84000	       -0.04000	       -2.99000	       -3.00000
1404399830.05000	       -0.04000	        0.00000	        2.42000	        2.00000	        0.04000	        0.04000	       -0.13000	       -0.04000	        0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        3.82000	        4.00000	        0.04000	        1.36000	       -2.73000	       -3.00000	       -9.27000	      -10.00000	       -2.07000	       -2.00000	        3.74000	        4.00000	        0.92000	       -0.04000	       -2.90000	       -3.00000
1404399830.07000	       -0.04000	        0.00000	        2.42000	        2.00000	        0.04000	        0.04000	       -0.13000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.82000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        3.82000	        4.00000	        0.13000	        1.36000	       -2.64000	       -3.00000	       -9.27000	      -10.00000	       -2.07000	       -2.00000	        3.74000	        4.00000	        0.92000	       -0.04000	       -2.99000	       -3.00000
1404399830.09000	        0.04000	        0.00000	        2.42000	        2.00000	        0.04000	        0.04000	       -0.22000	       -0.04000	        0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        3.91000	        4.00000	        0.04000	        1.36000	       -2.64000	       -3.00000	       -9.27000	      -10.00000	       -2.07000	       -2.00000	        3.74000	        4.00000	        0.92000	       -0.04000	       -2.90000	       -3.00000
1404399830.11000	        0.04000	        0.00000	        2.33000	        2.00000	        0.13000	        0.04000	       -0.22000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        1.98000	        2.00000	        3.82000	        4.00000	        0.13000	        1.36000	       -2.64000	       -3.00000	       -9.36000	      -10.00000	       -2.07000	       -2.00000	        3.65000	        4.00000	        1.01000	       -0.04000	       -2.90000	       -3.00000
1404399830.13000	        0.04000	        0.00000	        2.33000	        2.00000	        0.13000	        0.04000	       -0.22000	       -0.04000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        1.98000	        2.00000	        3.91000	        4.00000	        0.04000	        1.36000	       -2.64000	       -3.00000	       -9.36000	      -10.00000	       -2.07000	       -2.00000	        3.65000	        4.00000	        0.92000	       -0.04000	       -2.90000	       -3.00000
1404399830.15000	        0.04000	        0.00000	        2.33000	        2.00000	        0.13000	        0.04000	       -0.22000	       -0.04000	       -0.22000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.99000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	       10.08000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.79000	       10.00000	        1.98000	        2.00000	        3.91000	        4.00000	        0.04000	        1.36000	       -2.64000	       -3.00000	       -9.36000	      -10.00000	       -2.15000	       -2.00000	        3.74000	        4.00000	        0.92000	       -0.04000	       -2.90000	       -3.00000
