time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404399387.51000	       -0.22000	        0.00000	        2.42000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	       -0.31000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.35000	        4.00000	        0.22000	        1.89000	       -2.46000	       -3.00000	      -10.77000	      -10.00000	       -1.80000	       -2.00000	        4.09000	        4.00000	       -0.31000	       -0.04000	       -3.34000	       -3.00000
1404399387.53000	       -0.22000	        0.00000	        2.42000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.31000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.31000	        1.89000	       -2.37000	       -3.00000	      -10.68000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	       -0.31000	       -0.04000	       -3.43000	       -3.00000
1404399387.55000	       -0.22000	        0.00000	        2.42000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.40000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.31000	        1.89000	       -2.46000	       -3.00000	      -10.77000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	       -0.31000	       -0.04000	       -3.34000	       -3.00000
1404399387.57000	       -0.22000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.40000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.22000	        1.89000	       -2.46000	       -3.00000	      -10.77000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	       -0.22000	       -0.04000	       -3.34000	       -3.00000
1404399387.59000	       -0.22000	        0.00000	        2.42000	        2.00000	        0.13000	        0.04000	        0.04000	       -0.04000	       -0.40000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.35000	        4.00000	        0.22000	        1.89000	       -2.46000	       -3.00000	      -10.68000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	       -0.22000	       -0.04000	       -3.34000	       -3.00000
1404399387.61000	       -0.22000	        0.00000	        2.42000	        2.00000	        0.13000	        0.04000	        0.04000	       -0.04000	       -0.40000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.22000	        1.89000	       -2.46000	       -3.00000	      -10.68000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	       -0.22000	       -0.04000	       -3.25000	       -3.00000
1404399387.63000	       -0.22000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.40000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.73000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.22000	        1.89000	       -2.46000	       -3.00000	      -10.68000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	       -0.22000	       -0.04000	       -3.25000	       -3.00000
1404399387.66000	       -0.22000	        0.00000	        2.33000	        2.00000	        0.13000	        0.04000	        0.04000	       -0.04000	       -0.40000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.73000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.31000	        1.89000	       -2.46000	       -3.00000	      -10.77000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	       -0.22000	       -0.04000	       -3.34000	       -3.00000
1404399387.68000	       -0.22000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.40000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.31000	        1.89000	       -2.55000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	       -0.13000	       -0.04000	       -3.34000	       -3.00000
1404399387.70000	       -0.22000	        0.00000	        2.33000	        2.00000	        0.13000	        0.04000	       -0.04000	       -0.04000	       -0.40000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.31000	        1.89000	       -2.55000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	       -0.04000	       -0.04000	       -3.34000	       -3.00000
1404399387.72000	       -0.22000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.40000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.26000	        4.00000	        0.22000	        1.89000	       -2.55000	       -3.00000	      -10.68000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	       -0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.74000	       -0.22000	        0.00000	        2.42000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	       -0.40000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.15000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.64000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	       -0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.76000	       -0.22000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	       -0.40000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.64000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	       -0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.78000	       -0.22000	        0.00000	        2.42000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	       -0.31000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.64000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	       -0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.80000	       -0.22000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	        0.04000	       -0.04000	       -0.31000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.22000	        1.89000	       -2.73000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	       -0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.82000	       -0.22000	        0.00000	        2.33000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	       -0.13000	        0.00000	       -0.44000	        0.00000	       -0.64000	        0.00000	        9.82000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.15000	        2.00000	        4.18000	        4.00000	        0.22000	        1.89000	       -2.81000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	       -0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.84000	       -0.22000	        0.00000	        2.33000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.81000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	       -0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.86000	       -0.22000	        0.00000	        2.33000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.04000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.26000	        4.00000	        0.22000	        1.89000	       -2.81000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	        0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.88000	       -0.22000	        0.00000	        2.33000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	        0.04000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.73000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.90000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	        0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.90000	       -0.22000	        0.00000	        2.33000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.04000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.90000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	        0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.93000	       -0.22000	        0.00000	        2.33000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.13000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.81000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	        0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.95000	       -0.22000	        0.00000	        2.33000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.04000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.82000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.81000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	        0.04000	       -0.04000	       -3.25000	       -3.00000
1404399387.97000	       -0.22000	        0.00000	        2.33000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.04000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.13000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.90000	       -3.00000	      -10.77000	      -10.00000	       -2.07000	       -2.00000	        4.09000	        4.00000	        0.04000	       -0.04000	       -3.16000	       -3.00000
1404399387.99000	       -0.22000	        0.00000	        2.33000	        2.00000	       -0.04000	        0.04000	        0.04000	       -0.04000	        0.13000	        0.00000	       -0.44000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.73000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.81000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.09000	        4.00000	        0.04000	       -0.04000	       -3.16000	       -3.00000
1404399388.01000	       -0.22000	        0.00000	        2.33000	        2.00000	       -0.04000	        0.04000	       -0.04000	       -0.04000	        0.13000	        0.00000	       -0.44000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.81000	       -3.00000	      -10.68000	      -10.00000	       -2.07000	       -2.00000	        4.09000	        4.00000	        0.04000	       -0.04000	       -3.16000	       -3.00000
1404399388.03000	       -0.22000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.07000	        2.00000	        4.18000	        4.00000	        0.31000	        1.89000	       -2.90000	       -3.00000	      -10.77000	      -10.00000	       -2.07000	       -2.00000	        4.00000	        4.00000	        0.04000	       -0.04000	       -3.16000	       -3.00000
1404399388.05000	       -0.22000	        0.00000	        2.33000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	       -0.04000	       -0.04000	      -19.91000	      -20.00000	       10.88000	       10.00000	        2.07000	        2.00000	        4.09000	        4.00000	        0.31000	        1.89000	       -2.90000	       -3.00000	      -10.77000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -3.16000	       -3.00000
1404399388.07000	       -0.22000	        0.00000	        2.24000	        2.00000	        0.04000	        0.04000	       -0.04000	       -0.04000	        0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	        9.87000	       10.00000	       -0.04000	       -0.04000	      -20.00000	      -20.00000	        9.82000	       10.00000	      -10.04000	      -10.00000	        0.04000	       -0.04000	      -19.91000	      -20.00000	       10.97000	       10.00000	        2.07000	        2.00000	        4.09000	        4.00000	        0.31000	        1.89000	       -2.81000	       -3.00000	      -10.77000	      -10.00000	       -2.07000	       -2.00000	        4.00000	        4.00000	        0.13000	       -0.04000	       -3.16000	       -3.00000
